"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakID"
"sample 1",0.75,0,0.489532142026078,0,0,0,0.0296106385357571,0
"sample 2",1.5,0,0.45091745791453,0,0,0,0.0155444528302296,0
"sample 3",2.25,0,0.415586165846445,0,0,0.014529091286974,0.00796682721958121,0
"sample 4",3,0,0.405824136041088,0,0,0.125744625914449,0.0449233341064974,0
"sample 5",3.75,0,0.4526284063972,0,0,0.322697556478732,0.133716862633134,0
"sample 6",4.5,0,0.659334288304782,0,0,0.560268340127662,0.295553693003098,0
"sample 7",5.25,0,0.741071182116433,0.157894736842105,0.454545454545455,0.784032373365578,0.629932454237471,0
"sample 8",6,0,0.792306087749234,0.315789473684211,0.545454545454546,0.942728012826605,0.797035799154308,0
"sample 9",6.75,0,0.827562486587002,0.315789473684211,0.545454545454546,1,0.830741149608709,1
"sample 10",7.5,1,0.851462842867498,0.333333333333333,0.545454545454546,0.942728012826605,0.824975561342431,0
"sample 11",8.25,0,0.863147798742027,0.333333333333333,0.545454545454546,0.784032373365578,0.771423923575549,0
"sample 12",9,0,0.857973499868171,0.315789473684211,0.545454545454546,0.560268340127662,0.681637761596374,0
"sample 13",9.75,0,0.628167719969409,0.175438596491228,0.545454545454546,0.322697556478732,0.460260655024455,0
"sample 14",10.5,0,0.337813831543663,0,0.454545454545455,0.12574462591445,0.185726640604697,0
"sample 15",11.25,0,0.175067793848484,0,0.545454545454546,0.0145290912869741,0.119046043400207,0
"sample 16",12,0,0.104619886985554,0,0.727272727272727,0,0.154322418301683,0
"sample 17",12.75,0,0.108795434552993,0,0.818181818181818,0,0.188958935816372,0
"sample 18",13.5,0,0.196455770820759,0.0350877192982456,0.909090909090909,0,0.266787906032732,0
"sample 19",14.25,0,0.32746393007261,0.192982456140351,0.636363636363636,0,0.272680206524461,0
"sample 20",15,0,0.575182631109941,0.192982456140351,0.727272727272727,0,0.396032281419373,0
"sample 21",15.75,0,0.791508791486195,0.245614035087719,0.727272727272727,0,0.494005619679402,0
"sample 22",16.5,0,0.905754813506893,0.350877192982456,0.727272727272727,0,0.573966312348519,0
"sample 23",17.25,1,0.981325657483361,0.350877192982456,0.727272727272727,0.95048443395121,0.947727859685661,0
"sample 24",18,0,0.949503149204958,0.333333333333333,0.727272727272727,0.811744900929367,0.879206451419937,1
"sample 25",18.75,0,0.900545427036643,0.350877192982456,0.727272727272727,0.611260466978157,0.794732770539233,0
"sample 26",19.5,0,0.680049534750931,0.12280701754386,0.727272727272727,0.388739533021843,0.550275652544005,0
"sample 27",20.25,0,0.365167720975691,0,0.727272727272727,0.188255099070633,0.31780803386134,0
"sample 28",21,0,0.156212834303496,0,0.636363636363636,0.0495155660487905,0.158037765809483,0
"sample 29",21.75,0,0.0436594045041976,0,0.545454545454546,0,0.0658853416830531,0
"sample 30",22.5,0,0,0,0.545454545454546,0,0.0499815137564867,0
"sample 31",23.25,0,0.0749922089179938,0,0.545454545454546,0,0.0772989542944177,0
"sample 32",24,0,0.254241715760557,0.140350877192982,0.636363636363636,0,0.226835397264384,0
"sample 33",24.75,0,0.513745105697815,0.210526315789474,0.545454545454546,0,0.313812140634507,0
"sample 34",25.5,0,0.756978994104016,0.298245614035088,0.727272727272727,0,0.500599562552567,0
"sample 35",26.25,0,0.889212001218595,0.403508771929825,0.727272727272727,0,0.587112381140471,0
"sample 36",27,0,0.971161131520882,0.298245614035088,0.727272727272727,0,0.578619771419469,0
"sample 37",27.75,1,0.957248863956211,0.298245614035088,0.727272727272727,0.942728012826605,0.916959837113932,0
"sample 38",28.5,0,0.915783807387017,0.298245614035088,0.727272727272727,0.784032373365578,0.844047224047476,1
"sample 39",29.25,0,0.868930635285262,0.368421052631579,0.727272727272727,0.560268340127662,0.771032225245237,0
"sample 40",30,0,0.597510157585466,0.105263157894737,0.727272727272727,0.322697556478732,0.489761157728782,0
"sample 41",30.75,0,0.317422084903686,0.105263157894737,0.727272727272727,0.12574462591445,0.315989249575235,0
"sample 42",31.5,0,0.168572293230894,0.105263157894737,0.818181818181818,0.0145290912869741,0.254370643208115,0
"sample 43",32.25,0,0.0787104865141425,0.105263157894737,0.727272727272727,0,0.183228641776759,0
"sample 44",33,0,0.114637793906464,0.0175438596491228,0.636363636363636,0,0.131246864309647,0
"sample 45",33.75,0,0.210941485446892,0.0175438596491228,0.545454545454546,0,0.133211957538646,0
"sample 46",34.5,0,0.371780177537331,0.175438596491228,0.545454545454546,0,0.249317105232548,0
"sample 47",35.25,0,0.63729058412316,0.175438596491228,0.545454545454546,0,0.346034682281675,0
"sample 48",36,0,0.814879422869177,0.280701754385965,0.636363636363636,0,0.482184776162766,0
"sample 49",36.75,0,0.950604170113987,0.175438596491228,0.727272727272727,0,0.526396520140778,0
"sample 50",37.5,1,0.976735941486058,0.175438596491228,0.727272727272727,0.95048443395121,0.882148877648641,0
"sample 51",38.25,0,0.971832411220759,0.192982456140351,0.727272727272727,0.811744900929367,0.836214672656375,1
"sample 52",39,0,0.872285765759131,0.473684210526316,0.727272727272727,0.611260466978157,0.829173572058347,0
"sample 53",39.75,0,0.621921460617928,0.192982456140351,0.727272727272727,0.388739533021843,0.554664150590915,0
"sample 54",40.5,0,0.372239748155578,0.0526315789473684,0.727272727272727,0.188255099070633,0.339556289230973,0
"sample 55",41.25,0,0.1661800250252,0,0.636363636363636,0.0495155660487905,0.16166851817428,0
"sample 56",42,0,0.0362481268179259,0,0.818181818181818,0,0.162532100364614,0
"sample 57",42.75,0,0.0667265579223751,0.12280701754386,0.818181818181818,0,0.2183694491932,0
"sample 58",43.5,0,0.146197308646912,0.12280701754386,0.818181818181818,0,0.247318289862719,0
"sample 59",44.25,0,0.315223452801558,0.210526315789474,0.727272727272727,0,0.307727560855675,0
"sample 60",45,0,0.527360554526711,0.210526315789474,0.818181818181818,0,0.418118313001475,0
"sample 61",45.75,0,0.749120731358642,0.245614035087719,0.818181818181818,0,0.511680394063808,0
"sample 62",46.5,0,0.906665635021358,0.421052631578947,0.727272727272727,0,0.599860931425128,0
"sample 63",47.25,0,1,0.456140350877193,0.727272727272727,0,0.646641293033456,0
"sample 64",48,1,0.993214408050273,0.43859649122807,0.727272727272727,0.942728012826605,0.981186687127599,0
"sample 65",48.75,0,0.963902620648728,0.403508771929825,0.727272727272727,0.784032373365578,0.899919733166908,1
"sample 66",49.5,0,0.765015152632654,0.368421052631579,0.727272727272727,0.560268340127662,0.733178892755228,0
"sample 67",50.25,0,0.496082869664431,0,0.727272727272727,0.322697556478732,0.414469950218078,0
"sample 68",51,0,0.223802781186296,0,0.727272727272727,0.12574462591445,0.243542259447664,0
"sample 69",51.75,0,0.115542080987962,0,0.818181818181818,0.0145290912869741,0.196709056909022,0
"sample 70",52.5,0,0.035357937376911,0,0.818181818181818,0,0.162207830717496,0
"sample 71",53.25,0,0.0728987969164997,0,0.818181818181818,0,0.175882853936734,0
"sample 72",54,0,0.188525346165263,0,0.818181818181818,0,0.218002181121286,0
"sample 73",54.75,0,0.4013631214131,0,0.545454545454546,0,0.196186211037912,0
"sample 74",55.5,0,0.694778652842661,0,0.727272727272727,0,0.369299776974632,0
"sample 75",56.25,0,0.904914125364581,0.192982456140351,0.727272727272727,0,0.516143698561841,0
"sample 76",57,0,0.941405304457913,0.12280701754386,0.727272727272727,0,0.503873520508438,0
"sample 77",57.75,1,0.952301635559445,0.140350877192982,0.727272727272727,0.942728012826605,0.857641332342893,0
"sample 78",58.5,0,0.926512773554054,0.12280701754386,0.727272727272727,0.784032373365578,0.784048384203647,1
"sample 79",59.25,0,0.806882443633225,0.0701754385964912,0.727272727272727,0.560268340127662,0.639787863263504,0
"sample 80",60,0,0.525599926340704,0.0701754385964912,0.727272727272727,0.322697556478732,0.450784973484958,0
"sample 81",60.75,0,0.273949356678764,0,0.636363636363636,0.12574462591445,0.228693682413645,0
"sample 82",61.5,0,0.149751272888906,0,0.727272727272727,0.0145290912869741,0.176054963077015,0
"sample 83",62.25,0,0.0597887150073312,0,0.727272727272727,0,0.137991750190546,0
"sample 84",63,0,0.0906751795989519,0,0.909090909090909,0,0.21547375284492,0
"sample 85",63.75,0,0.170034119079094,0,1,0,0.277497353199923,0
"sample 86",64.5,0,0.389459401902671,0.105263157894737,1,0,0.39577173530774,0
"sample 87",65.25,0,0.650384680769572,0.245614035087719,0.727272727272727,0,0.442598286056446,0
"sample 88",66,0,0.841241105641057,0.228070175438596,0.909090909090909,0,0.571961898696256,0
"sample 89",66.75,0,0.908368438127515,0.508771929824561,0.909090909090909,0,0.69866573280242,0
"sample 90",67.5,1,0.937312474992811,0.368421052631579,0.909090909090909,0,0.658083520595571,1
"sample 91",68.25,0,0.936118497622946,0.368421052631579,0.909090909090909,0,0.657648590003774,0
"sample 92",69,0,0.839840252890638,0.368421052631579,0.909090909090909,0,0.622577277083157,0
"sample 93",69.75,0,0.667103593435186,0.245614035087719,0.909090909090909,0,0.514919469168487,0
"sample 94",70.5,0,0.404292556070257,0.105263157894737,1,0,0.401175014032415,0
"sample 95",71.25,0,0.188689581517569,0,0.636363636363636,0,0.151831028775467,0
"sample 96",72,0,0.106305916411747,0,0.818181818181818,0.0495155660487904,0.206089132219214,0
"sample 97",72.75,0,0.125614226889558,0,0.636363636363636,0.188255099070633,0.197430302016026,0
"sample 98",73.5,0,0.15532805631626,0,0.636363636363636,0.388739533021843,0.281284711193887,0
"sample 99",74.25,0,0.284151636562776,0,0.636363636363636,0.611260466978157,0.40926911135417,0
"sample 100",75,0,0.499593598170091,0,0.909090909090909,0.811744900929367,0.660125245692033,0
"sample 101",75.75,0,0.699445907885916,0.0175438596491228,0.818181818181818,0.950484433951209,0.756739444588907,0
"sample 102",76.5,0,0.911914503533975,0.0175438596491228,0.818181818181818,1,0.852172515067728,0
"sample 103",77.25,0,0.934874555935238,0.0175438596491228,0.818181818181818,0.95048443395121,0.842499127985427,1
"sample 104",78,1,0.966726323553746,0.0350877192982456,0.818181818181818,0.942728012826605,0.857667057484645,0
"sample 105",78.75,0,0.941827893808656,0.105263157894737,0.818181818181818,0.784032373365578,0.816352009664676,0
"sample 106",79.5,0,0.762193944637385,0.105263157894737,0.818181818181818,0.560268340127662,0.66940607279229,0
"sample 107",80.25,0,0.460575569924821,0,0.727272727272727,0.322697556478732,0.401535692602597,0
"sample 108",81,0,0.243783329563926,0,0.909090909090909,0.12574462591445,0.31705155984422,0
"sample 109",81.75,0,0.119533014747425,0,0.818181818181818,0.0145290912869741,0.19816283587137,0
"sample 110",82.5,0,0.0283201345463605,0,0.818181818181818,0,0.159644167596818,0
"sample 111",83.25,0,0.109996782631482,0.157894736842105,0.818181818181818,0,0.246912927335525,0
"sample 112",84,0,0.219142487876856,0.298245614035088,0.727272727272727,0,0.304681653346086,0
"sample 113",84.75,0,0.443408250824303,0.456140350877193,0.727272727272727,0,0.443891404326526,0
"sample 114",85.5,0,0.732839858750575,0.701754385964912,0.636363636363636,0,0.605677195516044,0
"sample 115",86.25,0,0.85271904921058,0.859649122807018,0.636363636363636,0,0.706862009932709,0
"sample 116",87,0,0.893282062879555,0.859649122807018,0.636363636363636,0,0.72163791438904,0
"sample 117",87.75,1,0.922717237827831,1,0.636363636363636,0,0.78348594434387,1
"sample 118",88.5,0,0.976394071763072,1,0.636363636363636,0,0.803038825109041,0
"sample 119",89.25,0,0.849698671528406,0.736842105263158,0.636363636363636,0,0.66102681669432,0
"sample 120",90,0,0.569944603573063,0.315789473684211,0.636363636363636,0,0.405743693029481,0
"sample 121",90.75,0,0.313047089641237,0.140350877192982,0.636363636363636,0,0.24825645323105,0
"sample 122",91.5,0,0.136366553930698,0.140350877192982,0.727272727272727,0.0145290912869739,0.222304973950821,0
"sample 123",92.25,0,0.0485276342127497,0,0.818181818181818,0.125744625914449,0.212810204035338,0
"sample 124",93,0,0.0614480205521723,0,0.727272727272727,0.322697556478732,0.256145348000795,0
"sample 125",93.75,0,0.141883343286,0.157894736842105,0.818181818181818,0.560268340127661,0.462617418838778,0
"sample 126",94.5,0,0.270519561387495,0.157894736842105,0.636363636363636,0.784032373365578,0.524755414348139,0
"sample 127",95.25,0,0.648073915940159,0.473684210526316,0.818181818181818,0.942728012826605,0.901359134558922,0
"sample 128",96,0,0.788953449385871,0.333333333333333,0.818181818181818,1,0.922414196979792,0
"sample 129",96.75,0,0.837705827674732,0.473684210526316,0.818181818181818,0.942728012826605,0.970436423355257,1
"sample 130",97.5,1,0.883776440652428,0.508771929824561,0.818181818181818,0.942728012826605,1,0
"sample 131",98.25,0,0.948607638355119,0.491228070175439,0.818181818181818,0.784032373365578,0.959417255565065,0
"sample 132",99,0,0.862950985302028,0.403508771929825,0.818181818181818,0.560268340127662,0.814750921963964,0
"sample 133",99.75,0,0.611484672006881,0.0701754385964912,0.818181818181818,0.322697556478732,0.515185731747711,0
"sample 134",100.5,0,0.371182207121662,0.0701754385964912,0.636363636363636,0.12574462591445,0.289675563696689,0
"sample 135",101.25,0,0.251192669639041,0.0701754385964912,0.454545454545455,0.0145290912869741,0.139223425497819,0
"sample 136",102,0,0.133339890585624,0.0701754385964912,0.363636363636364,0,0.0578851419001133,0
"sample 137",102.75,0,0.0832792121913207,0,0.363636363636364,0,0.0140866857164917,0
"sample 138",103.5,0,0.135517342080237,0,0.272727272727273,0,0,0
"sample 139",104.25,0,0.244403168619886,0.087719298245614,0.272727272727273,0,0.071617423773275,0
"sample 140",105,0,0.539275882666133,0.245614035087719,0.363636363636364,0,0.269662684963814,0
"sample 141",105.75,0,0.733372637694322,0.368421052631579,0.363636363636364,0,0.38510134303761,0
"sample 142",106.5,0,0.785668387707679,0.385964912280702,0.363636363636364,0,0.410541844279991,0
"sample 143",107.25,1,0.867264876739946,0.385964912280702,0.454545454545455,0,0.473380517663548,0
"sample 144",108,0,0.916789458691938,0.543859649122807,0.454545454545455,0,0.548937232011996,1
"sample 145",108.75,0,0.849187844073235,0.578947368421053,0.454545454545455,0,0.537093382965698,0
"sample 146",109.5,0,0.618897913614738,0.298245614035088,0.454545454545455,0,0.350954247080525,0
"sample 147",110.25,0,0.402566958631277,0.157894736842105,0.545454545454546,0,0.254141109276929,0
"sample 148",111,0,0.313246351561046,0.087719298245614,0.545454545454546,0,0.196041423904274,0
"sample 149",111.75,0,0.2230472766063,0,0.545454545454546,0.0495155660487904,0.149268084381736,0
"sample 150",112.5,0,0.223609474104604,0,0.545454545454546,0.188255099070633,0.200011578875628,0
"sample 151",113.25,0,0.186046256528941,0,0.545454545454546,0.388739533021843,0.259358952488442,0
"sample 152",114,0,0.256140846331283,0,0.454545454545455,0.611260466978157,0.332834631695486,0
"sample 153",114.75,0,0.342519126430242,0,0.181818181818182,0.811744900929367,0.337983754296181,0
"sample 154",115.5,0,0.38897274794743,0,0.181818181818182,0.950484433951209,0.405444135316348,0
"sample 155",116.25,0,0.435139769309959,0.12280701754386,0,1,0.418802448605688,0
"sample 156",117,0,0.473515846184669,0.140350877192982,0,0.95048443395121,0.42113537108069,1
"sample 157",117.75,1,0.506596868248007,0.140350877192982,0,0.95048443395121,0.433185807601868,0
"sample 158",118.5,0,0.545511588243932,0.140350877192982,0,0.811744900929367,0.396822584896593,0
"sample 159",119.25,0,0.544671776885237,0.140350877192982,0,0.611260466978157,0.323486125290353,0
"sample 160",120,0,0.544671776885237,0.140350877192982,0,0.388739533021843,0.242428339828349,0
